Postcode,SED,Rented Households,Postcode Totals,SED Totals,Postcode Fraction,SED Fraction
2212,East Hills,1920,1920,8060,1,0.2382134
2213,East Hills,2061,2061,8060,1,0.255707196
2214,East Hills,142,142,8060,1,0.017617866
2216,Rockdale,4485,4485,13783,1,0.325400856
2217,Kogarah,2030,4271,12900,0.475298525,0.157364341
2217,Rockdale,2241,4271,13783,0.524701475,0.162591598
2218,Kogarah,2375,2375,12900,1,0.184108527
2219,Rockdale,1521,1521,13783,1,0.110353334
2220,Kogarah,5014,5154,12900,0.972836632,0.388682171
2220,Oatley,140,5154,9660,0.027163368,0.014492754
2221,Kogarah,750,1012,12900,0.741106719,0.058139535
2221,Oatley,262,1012,9660,0.258893281,0.027122153
2222,Kogarah,19,1696,12900,0.01120283,0.001472868
2222,Oatley,1677,1696,9660,0.98879717,0.173602484
2223,Oatley,2221,2221,9660,1,0.229917184
2224,Miranda,989,989,7046,1,0.140363327
2225,Miranda,147,147,7046,1,0.020862901
2226,Miranda,912,912,7046,1,0.129435141
2227,Cronulla,291,1215,7123,0.239506173,0.040853573
2227,Miranda,924,1215,7046,0.760493827,0.131138234
2228,Cronulla,203,2501,7123,0.081167533,0.028499228
2228,Miranda,2298,2501,7046,0.918832467,0.326142492
2229,Cronulla,2138,2669,7123,0.801049082,0.300154429
2229,Miranda,531,2669,7046,0.198950918,0.075361907
2230,Cronulla,4018,4190,7123,0.958949881,0.564088165
2230,Heathcote,172,4190,5715,0.041050119,0.030096238
2231,Cronulla,133,133,7123,1,0.018671908
2232,Cronulla,340,3784,7123,0.089852008,0.047732697
2232,Heathcote,2679,3784,5715,0.707980973,0.468766404
2232,Miranda,765,3784,7046,0.202167019,0.10857224
2233,Heathcote,1177,1177,5715,1,0.205949256
2234,Holsworthy,465,945,8222,0.492063492,0.056555583
2234,Miranda,480,945,7046,0.507936508,0.068123758
2250,Cessnock,3,8172,7652,0.000367107,0.000392054
2250,Gosford,5622,8172,11414,0.687958884,0.492553005
2250,Terrigal,831,8172,5166,0.101688693,0.160859466
2250,The Entrance,1716,8172,8123,0.209985316,0.211252
2251,Terrigal,2115,2115,5166,1,0.409407666
2256,Gosford,2298,2298,11414,1,0.201331698
2257,Gosford,3414,3751,11414,0.910157291,0.299106361
2257,Terrigal,337,3751,5166,0.089842709,0.065234224
2258,The Entrance,355,367,8123,0.967302452,0.043703065
2258,Wyong,12,367,9016,0.032697548,0.001330967
2259,Lake Macquarie,191,6146,6618,0.031077123,0.028860683
2259,Swansea,1279,6146,6614,0.208102831,0.193377684
2259,The Entrance,123,6146,8123,0.020013017,0.015142189
2259,Wyong,4553,6146,9016,0.740807029,0.504991127
2260,Terrigal,1883,1883,5166,1,0.364498645
2261,The Entrance,5929,6153,8123,0.963594994,0.729902745
2261,Wyong,224,6153,9016,0.036405006,0.02484472
2262,Swansea,1518,2206,6614,0.6881233,0.229513154
2262,Wyong,688,2206,9016,0.3118767,0.076308784
2263,Wyong,3539,3539,9016,1,0.392524401
2264,Lake Macquarie,1630,1630,6618,1,0.246297975
2265,Lake Macquarie,554,554,6618,1,0.083711091
2267,Lake Macquarie,253,253,6618,1,0.038229072
2278,Cessnock,80,102,7652,0.784313725,0.010454783
2278,Lake Macquarie,22,102,6618,0.215686275,0.003324267
2280,Charlestown,9,2318,8078,0.003882657,0.001114137
2280,Swansea,2309,2318,6614,0.996117343,0.349107953
2281,Swansea,1314,1314,6614,1,0.198669489
2282,Charlestown,980,1083,8078,0.904893813,0.121317158
2282,Lake Macquarie,103,1083,6618,0.095106187,0.015563614
2283,Lake Macquarie,2203,2203,6618,1,0.332880024
2284,Lake Macquarie,1258,1258,6618,1,0.19008764
2285,Cessnock,1351,3050,7652,0.44295082,0.176555149
2285,Charlestown,529,3050,8078,0.173442623,0.065486507
2285,Lake Macquarie,377,3050,6618,0.123606557,0.056965851
2285,Wallsend,793,3050,10573,0.26,0.075002365
2286,Cessnock,288,288,7652,1,0.037637219
2287,Wallsend,4503,4503,10573,1,0.425896151
2289,Charlestown,1508,1861,8078,0.810317034,0.186679871
2289,Newcastle,342,1861,13023,0.183772166,0.02626123
2289,Wallsend,11,1861,10573,0.005910801,0.001040386
2290,Charlestown,3050,3244,8078,0.940197287,0.377568705
2290,Swansea,194,3244,6614,0.059802713,0.029331721
2291,Charlestown,159,1733,8078,0.091748413,0.01968309
2291,Newcastle,1574,1733,13023,0.908251587,0.120863088
2292,Newcastle,441,441,13023,1,0.033863165
2293,Newcastle,671,671,13023,1,0.051524226
2294,Newcastle,395,395,13023,1,0.030330953
2295,Newcastle,883,883,13023,1,0.067803118
2296,Newcastle,430,430,13023,1,0.033018506
2297,Newcastle,234,234,13023,1,0.01796821
2298,Newcastle,274,1677,13023,0.163387001,0.021039699
2298,Wallsend,1403,1677,10573,0.836612999,0.132696491
2299,Wallsend,2035,2035,10573,1,0.192471389
2300,Newcastle,3122,3122,13023,1,0.239729709
2302,Newcastle,402,402,13023,1,0.030868463
2303,Newcastle,1669,1669,13023,1,0.128157875
2304,Newcastle,2561,2561,13023,1,0.196652077
2305,Charlestown,808,1372,8078,0.588921283,0.100024759
2305,Wallsend,564,1372,10573,0.411078717,0.053343422
2306,Charlestown,1035,1035,8078,1,0.128125774
2307,Wallsend,679,679,10573,1,0.064220183
2311,Upper Hunter,50,50,7521,1,0.006648052
2312,Myall Lakes,76,76,7678,1,0.009898411
2315,Port Stephens,1718,1718,7329,1,0.234411243
2316,Port Stephens,433,433,7329,1,0.059080366
2317,Port Stephens,645,645,7329,1,0.088006549
2318,Newcastle,4,897,13023,0.004459309,0.000307149
2318,Port Stephens,893,897,7329,0.995540691,0.121844726
2319,Port Stephens,737,737,7329,1,0.100559421
2320,Cessnock,52,3705,7652,0.014035088,0.006795609
2320,Maitland,3233,3705,9390,0.872604588,0.344302449
2320,Port Stephens,23,3705,7329,0.006207827,0.003138218
2320,Upper Hunter,397,3705,7521,0.107152497,0.052785534
2321,Cessnock,606,1779,7652,0.340640809,0.079194982
2321,Maitland,1029,1779,9390,0.57841484,0.109584665
2321,Port Stephens,45,1779,7329,0.02529511,0.006139992
