Postcode,SA4,Rented Households,Postcode Totals,SA4 Totals,Postcode Fraction,SA4 Fraction,SA4_CODE21,SA4_NAME21,GCC_NAME21,STE_NAME21
2083,Sydney - North Sydney and Hornsby,92.0,143.0,54475.0,0.6433566433566433,0.0016888480954566315,121,Sydney - North Sydney and Hornsby,Greater Sydney,New South Wales
2084,Sydney - Northern Beaches,189.0,189.0,25600.0,1.0,0.0073828125,122,Sydney - Northern Beaches,Greater Sydney,New South Wales
2085,Sydney - Northern Beaches,397.0,397.0,25600.0,1.0,0.0155078125,122,Sydney - Northern Beaches,Greater Sydney,New South Wales
2086,Sydney - Northern Beaches,690.0,690.0,25600.0,1.0,0.026953125,122,Sydney - Northern Beaches,Greater Sydney,New South Wales
2087,Sydney - Northern Beaches,747.0,747.0,25600.0,1.0,0.0291796875,122,Sydney - Northern Beaches,Greater Sydney,New South Wales
2088,Sydney - North Sydney and Hornsby,3856.0,3856.0,54475.0,1.0,0.07078476365305186,121,Sydney - North Sydney and Hornsby,Greater Sydney,New South Wales
2089,Sydney - North Sydney and Hornsby,2831.0,2831.0,54475.0,1.0,0.051968793024323084,121,Sydney - North Sydney and Hornsby,Greater Sydney,New South Wales
2090,Sydney - North Sydney and Hornsby,2807.0,2807.0,54475.0,1.0,0.051528223955943094,121,Sydney - North Sydney and Hornsby,Greater Sydney,New South Wales
2092,Sydney - Northern Beaches,369.0,369.0,25600.0,1.0,0.0144140625,122,Sydney - Northern Beaches,Greater Sydney,New South Wales
2093,Sydney - Northern Beaches,2299.0,2299.0,25600.0,1.0,0.0898046875,122,Sydney - Northern Beaches,Greater Sydney,New South Wales
2094,Sydney - Northern Beaches,843.0,843.0,25600.0,1.0,0.0329296875,122,Sydney - Northern Beaches,Greater Sydney,New South Wales
2095,Sydney - Northern Beaches,3633.0,3633.0,25600.0,1.0,0.1419140625,122,Sydney - Northern Beaches,Greater Sydney,New South Wales
2096,Sydney - Northern Beaches,2166.0,2166.0,25600.0,1.0,0.084609375,122,Sydney - Northern Beaches,Greater Sydney,New South Wales
2097,Sydney - Northern Beaches,1222.0,1222.0,25600.0,1.0,0.047734375,122,Sydney - Northern Beaches,Greater Sydney,New South Wales
2099,Sydney - Northern Beaches,6105.0,6105.0,25600.0,1.0,0.2384765625,122,Sydney - Northern Beaches,Greater Sydney,New South Wales
2100,Sydney - Northern Beaches,1684.0,1684.0,25600.0,1.0,0.06578125,122,Sydney - Northern Beaches,Greater Sydney,New South Wales
2101,Sydney - Northern Beaches,2018.0,2018.0,25600.0,1.0,0.078828125,122,Sydney - Northern Beaches,Greater Sydney,New South Wales
2102,Sydney - Northern Beaches,488.0,488.0,25600.0,1.0,0.0190625,122,Sydney - Northern Beaches,Greater Sydney,New South Wales
2103,Sydney - Northern Beaches,879.0,879.0,25600.0,1.0,0.0343359375,122,Sydney - Northern Beaches,Greater Sydney,New South Wales
2104,Sydney - Northern Beaches,112.0,112.0,25600.0,1.0,0.004375,122,Sydney - Northern Beaches,Greater Sydney,New South Wales
2105,Sydney - Northern Beaches,68.0,68.0,25600.0,1.0,0.00265625,122,Sydney - Northern Beaches,Greater Sydney,New South Wales
2106,Sydney - Northern Beaches,827.0,827.0,25600.0,1.0,0.0323046875,122,Sydney - Northern Beaches,Greater Sydney,New South Wales
2107,Sydney - Northern Beaches,744.0,744.0,25600.0,1.0,0.0290625,122,Sydney - Northern Beaches,Greater Sydney,New South Wales
2108,Sydney - Northern Beaches,120.0,120.0,25600.0,1.0,0.0046875,122,Sydney - Northern Beaches,Greater Sydney,New South Wales
2110,Sydney - Ryde,672.0,672.0,28251.0,1.0,0.02378676860996071,126,Sydney - Ryde,Greater Sydney,New South Wales
2111,Sydney - Ryde,2251.0,2251.0,28251.0,1.0,0.07967859544794874,126,Sydney - Ryde,Greater Sydney,New South Wales
2112,Sydney - Ryde,5922.0,5922.0,28251.0,1.0,0.20962089837527875,126,Sydney - Ryde,Greater Sydney,New South Wales
2113,Sydney - Ryde,5156.0,5156.0,28251.0,1.0,0.1825068139180914,126,Sydney - Ryde,Greater Sydney,New South Wales
2114,Sydney - Parramatta,121.0,4158.0,72706.0,0.0291005291005291,0.0016642367892608589,125,Sydney - Parramatta,Greater Sydney,New South Wales
2114,Sydney - Ryde,4037.0,4158.0,28251.0,0.9708994708994709,0.14289759654525502,126,Sydney - Ryde,Greater Sydney,New South Wales
2115,Sydney - Parramatta,1847.0,1847.0,72706.0,1.0,0.025403680576568645,125,Sydney - Parramatta,Greater Sydney,New South Wales
2116,Sydney - Parramatta,1061.0,1061.0,72706.0,1.0,0.014593018457898935,125,Sydney - Parramatta,Greater Sydney,New South Wales
2117,Sydney - Parramatta,2756.0,2756.0,72706.0,1.0,0.0379060875306027,125,Sydney - Parramatta,Greater Sydney,New South Wales
2118,Sydney - Parramatta,2986.0,2986.0,72706.0,1.0,0.041069512832503506,125,Sydney - Parramatta,Greater Sydney,New South Wales
2119,Sydney - Parramatta,95.0,641.0,72706.0,0.1482059282371295,0.0013066321899155504,125,Sydney - Parramatta,Greater Sydney,New South Wales
2119,Sydney - Ryde,546.0,641.0,28251.0,0.8517940717628705,0.019326749495593078,126,Sydney - Ryde,Greater Sydney,New South Wales
2120,Sydney - North Sydney and Hornsby,773.0,1423.0,54475.0,0.5432185523541813,0.01418999541073887,121,Sydney - North Sydney and Hornsby,Greater Sydney,New South Wales
2120,Sydney - Ryde,650.0,1423.0,28251.0,0.4567814476458187,0.02300803511380128,126,Sydney - Ryde,Greater Sydney,New South Wales
