Postcode,LGA,Rented Households,Postcode Totals,LGA Totals,Postcode Fraction,LGA Fraction
2229,Sutherland,2670.0,2670.0,18692.0,1.0,0.14284185747913547
2230,Sutherland,4189.0,4189.0,18692.0,1.0,0.22410656965546757
2231,Sutherland,133.0,133.0,18692.0,1.0,0.007115343462443826
2232,Sutherland,3785.0,3785.0,18692.0,1.0,0.20249304515300665
2233,Sutherland,1177.0,1177.0,18692.0,1.0,0.06296811470147656
2234,Sutherland,947.0,947.0,18692.0,1.0,0.05066338540552108
2250,Central Coast (NSW),8172.0,8175.0,36532.0,0.9996330275229358,0.2236942954122413
2250,Cessnock,3.0,8175.0,6203.0,0.0003669724770642202,0.00048363694986296955
2251,Central Coast (NSW),2115.0,2115.0,36532.0,1.0,0.057894448702507394
2256,Central Coast (NSW),2298.0,2298.0,36532.0,1.0,0.06290375561151867
2257,Central Coast (NSW),3754.0,3754.0,36532.0,1.0,0.10275922478922589
2258,Central Coast (NSW),370.0,370.0,36532.0,1.0,0.01012810686521406
2259,Central Coast (NSW),5955.0,6146.0,36532.0,0.9689228766677513,0.1630077740063506
2259,Lake Macquarie,191.0,6146.0,18926.0,0.031077123332248616,0.01009193701785903
2260,Central Coast (NSW),1883.0,1883.0,36532.0,1.0,0.0515438519654002
2261,Central Coast (NSW),6158.0,6158.0,36532.0,1.0,0.16856454615131938
2262,Central Coast (NSW),2208.0,2208.0,36532.0,1.0,0.060440162049709846
2263,Central Coast (NSW),3539.0,3539.0,36532.0,1.0,0.09687397350268258
2264,Lake Macquarie,1630.0,1630.0,18926.0,1.0,0.08612490753460847
2265,Lake Macquarie,554.0,554.0,18926.0,1.0,0.02927190108844975
2267,Lake Macquarie,253.0,253.0,18926.0,1.0,0.01336785374616929
2278,Lake Macquarie,99.0,99.0,18926.0,1.0,0.005230899291979288
2280,Lake Macquarie,2320.0,2320.0,18926.0,1.0,0.12258269047870654
2281,Lake Macquarie,1314.0,1314.0,18926.0,1.0,0.06942829969354328
2282,Lake Macquarie,1086.0,1086.0,18926.0,1.0,0.05738138011201522
2283,Lake Macquarie,2203.0,2203.0,18926.0,1.0,0.11640071858818557
2284,Lake Macquarie,1258.0,1258.0,18926.0,1.0,0.0664694071647469
2285,Lake Macquarie,3056.0,3056.0,18926.0,1.0,0.1614709922857445
2286,Lake Macquarie,288.0,288.0,18926.0,1.0,0.01521716157666702
2287,Lake Macquarie,45.0,4505.0,18926.0,0.009988901220865706,0.0023776814963542216
2287,Newcastle,4460.0,4505.0,24502.0,0.9900110987791343,0.1820259570647294
2289,Lake Macquarie,257.0,1855.0,18926.0,0.138544474393531,0.013579203212511888
2289,Newcastle,1598.0,1855.0,24502.0,0.861455525606469,0.06521916578238511
2290,Lake Macquarie,3242.0,3242.0,18926.0,1.0,0.17129874247067525
2291,Newcastle,1726.0,1726.0,24502.0,1.0,0.07044322912415313
2292,Newcastle,441.0,441.0,24502.0,1.0,0.017998530732185127
2293,Newcastle,671.0,671.0,24502.0,1.0,0.027385519549424538
2294,Newcastle,395.0,395.0,24502.0,1.0,0.016121132968737246
2295,Newcastle,484.0,880.0,24502.0,0.55,0.01975348951106032
2295,Port Stephens,396.0,880.0,7303.0,0.45,0.05422429138710119
