Postcode,Commonwealth Electorate,Rented Households,Postcode Totals,Commonwealth Electorate Totals,Postcode Fraction,Commonwealth Electorate Fraction,POA_NAME_2016,CED_NAME_2016,POA_2016_2021_RATIO,CED_2016_2021_RATIO
2586,Hume,166,187,9526,0.8877005347593583,0.01742599202183498,2586,Hume,1.0,0.9982563
2587,Riverina,193,193,15491,1.0,0.012458847072493706,2587,Riverina,1.0,0.9995331
2588,Riverina,12,12,15491,1.0,0.0007746433412949454,2588,Riverina,1.0,0.9995331
2590,Riverina,669,669,15491,1.0,0.04318636627719321,2590,Riverina,1.0,0.9995331
2594,Riverina,1231,1231,15491,1.0,0.07946549609450648,2594,Riverina,1.0,0.9995331
2611,Eden-Monaro,3,3,13534,1.0,0.00022166395744052016,2611,Eden-Monaro,1.0,0.9999922
2618,Eden-Monaro,47,47,13534,1.0,0.003472735333234816,2618,Eden-Monaro,0.8910169,0.9999922
2619,Eden-Monaro,633,633,13534,1.0,0.046771095019949756,2619,Eden-Monaro,1.0,0.9999922
2620,Eden-Monaro,4570,4570,13534,1.0,0.3376680951677257,2620,Eden-Monaro,0.9998418,0.9999922
2621,Eden-Monaro,283,283,13534,1.0,0.020910299985222404,2621,Eden-Monaro,1.0,0.9999922
2622,Eden-Monaro,235,238,13534,0.9873949579831933,0.01736367666617408,2622,Eden-Monaro,0.9693882,0.9999922
2622,Hume,3,238,9526,0.012605042016806723,0.0003149275666596683,2622,Hume,0.9693882,0.9982563
2623,Eden-Monaro,39,39,13534,1.0,0.0028816314467267623,2623,Eden-Monaro,1.0,0.9999922
2625,Eden-Monaro,42,42,13534,1.0,0.0031032954041672824,2625,Eden-Monaro,1.0,0.9999922
2626,Eden-Monaro,10,10,13534,1.0,0.0007388798581350672,2626,Eden-Monaro,1.0,0.9999922
2627,Eden-Monaro,744,744,13534,1.0,0.054972661445249,2627,Eden-Monaro,0.977841,0.9999922
2628,Eden-Monaro,155,155,13534,1.0,0.011452637801093542,2628,Eden-Monaro,1.0,0.9999922
2629,Eden-Monaro,45,45,13534,1.0,0.0033249593616078025,2629,Eden-Monaro,1.0,0.9999922
2630,Eden-Monaro,869,869,13534,1.0,0.06420865967193734,2630,Eden-Monaro,1.0,0.9999922
2631,Eden-Monaro,30,30,13534,1.0,0.0022166395744052016,2631,Eden-Monaro,1.0,0.9999922
2632,Eden-Monaro,150,150,13534,1.0,0.011083197872026008,2632,Eden-Monaro,1.0,0.9999922
2633,Eden-Monaro,15,15,13534,1.0,0.0011083197872026008,2633,Eden-Monaro,1.0,0.9999922
2640,Farrer,4283,4283,16526,1.0,0.2591673726249546,2640,Farrer,1.0,1.0
2641,Farrer,2286,2286,16526,1.0,0.13832748396466174,2641,Farrer,1.0,1.0
2642,Eden-Monaro,54,214,13534,0.2523364485981308,0.003989951233929363,2642,Eden-Monaro,1.0,0.9999922
2642,Farrer,152,214,16526,0.7102803738317757,0.009197627980152487,2642,Farrer,1.0,1.0
2642,Riverina,8,214,15491,0.037383177570093455,0.0005164288941966304,2642,Riverina,1.0,0.9995331
2643,Farrer,194,194,16526,1.0,0.01173907781677357,2643,Farrer,1.0,1.0
2644,Farrer,160,160,16526,1.0,0.009681713663318407,2644,Farrer,1.0,1.0
2645,Farrer,19,19,16526,1.0,0.0011497034975190609,2645,Farrer,1.0,1.0
2646,Farrer,600,600,16526,1.0,0.036306426237444026,2646,Farrer,1.0,1.0
2647,Farrer,193,193,16526,1.0,0.01167856710637783,2647,Farrer,1.0,1.0
2648,Farrer,203,206,16526,0.9854368932038835,0.01228367421033523,2648,Farrer,1.0,1.0
2648,Parkes,3,206,16428,0.014563106796116505,0.00018261504747991235,2648,Parkes,1.0,0.9993544
2650,Riverina,7037,7048,15491,0.998439273552781,0.4542637660577109,2650,Riverina,1.0,0.9995331
2650,Farrer,11,7048,16526,0.0015607264472190692,0.0006656178143531406,2650,Farrer,1.0,1.0
2651,Riverina,264,264,15491,1.0,0.0170421535084888,2651,Riverina,1.0,0.9995331
2652,Farrer,73,239,16526,0.3054393305439331,0.004417281858889024,2652,Farrer,1.0,1.0
2652,Eden-Monaro,7,239,13534,0.029288702928870293,0.0005172159006945471,2652,Eden-Monaro,1.0,0.9999922
2652,Riverina,159,239,15491,0.6652719665271967,0.010264024272158027,2652,Riverina,1.0,0.9995331
2653,Eden-Monaro,218,218,13534,1.0,0.016107580907344467,2653,Eden-Monaro,1.0,0.9999922
2655,Riverina,62,62,15491,1.0,0.004002323930023885,2655,Riverina,1.0,0.9995331
2656,Riverina,92,92,15491,1.0,0.005938932283261249,2656,Riverina,1.0,0.9995331
2658,Riverina,8,90,15491,0.08888888888888889,0.0005164288941966304,2658,Riverina,1.0,0.9995331
2658,Farrer,82,90,16526,0.9111111111111111,0.004961878252450684,2658,Farrer,1.0,1.0
2659,Farrer,41,41,16526,1.0,0.002480939126225342,2659,Farrer,1.0,1.0
2660,Farrer,114,114,16526,1.0,0.006898220985114365,2660,Farrer,1.0,1.0
2661,Riverina,45,45,15491,1.0,0.0029049125298560453,2661,Riverina,1.0,0.9995331
2663,Riverina,404,404,15491,1.0,0.026079659156929832,2663,Riverina,1.0,0.9995331
2665,Farrer,30,108,16526,0.2777777777777778,0.0018153213118722014,2665,Farrer,1.0,1.0
2665,Riverina,78,108,15491,0.7222222222222222,0.005035181718417146,2665,Riverina,1.0,0.9995331
2666,Riverina,463,463,15491,1.0,0.02988832225162998,2666,Riverina,1.0,0.9995331
