,Postcode,SED,Rented Households,Postcode Totals,SED Totals,Postcode Fraction,SED Fraction
276,2197,East Hills,78.0,915.0,8060.0,0.08524590163934426,0.00967741935483871
297,2197,Fairfield,340.0,915.0,12516.0,0.37158469945355194,0.027165228507510387
277,2198,East Hills,332.0,530.0,8060.0,0.6264150943396226,0.04119106699751861
298,2198,Fairfield,198.0,530.0,12516.0,0.37358490566037733,0.015819750719079578
22,2199,Auburn,1108.0,2150.0,13807.0,0.5153488372093024,0.08024914898240024
51,2199,Bankstown,436.0,2150.0,12275.0,0.2027906976744186,0.0355193482688391
278,2199,East Hills,606.0,2150.0,8060.0,0.28186046511627905,0.07518610421836228
52,2200,Bankstown,5396.0,6581.0,12275.0,0.8199361799118675,0.4395926680244399
279,2200,East Hills,1185.0,6581.0,8060.0,0.18006382008813251,0.14702233250620347
563,2203,Newtown,33.0,2786.0,20698.0,0.011844938980617373,0.0015943569426997777
722,2203,Summer Hill,2753.0,2786.0,14347.0,0.9881550610193827,0.19188680560395902
564,2204,Newtown,592.0,4988.0,20698.0,0.11868484362469928,0.028601797275099042
723,2204,Summer Hill,4396.0,4988.0,14347.0,0.8813151563753007,0.30640552031783647
686,2205,Rockdale,4945.0,4945.0,13783.0,1.0,0.35877530290938114
156,2206,Canterbury,1408.0,1408.0,13972.0,1.0,0.10077297452046952
