Postcode,GCCSA,Rented Households,Postcode Totals,GCCSA Totals,Postcode Fraction,GCCSA Fraction,POA_NAME_2016,GCCSA_NAME_2016,POA_2016_2021_RATIO,GCCSA_2016_2021_RATIO
2162,Greater Sydney,1960,1960,547460,1.0,0.0035801702407481824,2162,Greater Sydney,1.0,0.999999
2163,Greater Sydney,1615,1615,547460,1.0,0.0029499872136777116,2163,Greater Sydney,1.0,0.999999
2164,Greater Sydney,1825,1825,547460,1.0,0.0033335768823293025,2164,Greater Sydney,1.0,0.999999
2165,Greater Sydney,5547,5547,547460,1.0,0.010132247104811311,2165,Greater Sydney,1.0,0.999999
2166,Greater Sydney,5966,5966,547460,1.0,0.010897599824644723,2166,Greater Sydney,1.0,0.999999
2167,Greater Sydney,876,876,547460,1.0,0.0016001169035180652,2167,Greater Sydney,1.0,0.999999
2168,Greater Sydney,4450,4450,547460,1.0,0.00812844774047419,2168,Greater Sydney,1.0,0.999999
2170,Greater Sydney,11163,11163,547460,1.0,0.020390530815036716,2170,Greater Sydney,1.0,0.999999
2171,Greater Sydney,1601,1601,547460,1.0,0.002924414569100939,2171,Greater Sydney,1.0,0.999999
2172,Greater Sydney,123,123,547460,1.0,0.00022467394878164615,2172,Greater Sydney,1.0,0.999999
2173,Greater Sydney,1219,1219,547460,1.0,0.0022266466956489973,2173,Greater Sydney,1.0,0.999999
2174,Greater Sydney,140,140,547460,1.0,0.0002557264457677273,2174,Greater Sydney,1.0,0.999999
2175,Greater Sydney,80,80,547460,1.0,0.00014612939758155847,2175,Greater Sydney,1.0,0.999999
2176,Greater Sydney,2803,2803,547460,1.0,0.005120008767763855,2176,Greater Sydney,1.0,0.999999
2177,Greater Sydney,1354,1354,547460,1.0,0.002473240054067877,2177,Greater Sydney,1.0,0.999999
2178,Greater Sydney,197,197,547460,1.0,0.00035984364154458773,2178,Greater Sydney,1.0,0.999999
2179,Greater Sydney,535,535,547460,1.0,0.0009772403463266723,2179,Greater Sydney,0.9992883,0.999999
2190,Greater Sydney,2240,2240,547460,1.0,0.004091623132283637,2190,Greater Sydney,1.0,0.999999
2191,Greater Sydney,590,590,547460,1.0,0.0010777043071639938,2191,Greater Sydney,1.0,0.999999
2192,Greater Sydney,1823,1823,547460,1.0,0.0033299236473897636,2192,Greater Sydney,1.0,0.999999
2193,Greater Sydney,1613,1613,547460,1.0,0.0029463339787381727,2193,Greater Sydney,1.0,0.999999
2194,Greater Sydney,4159,4159,547460,1.0,0.007596902056771271,2194,Greater Sydney,1.0,0.999999
2195,Greater Sydney,4442,4442,547460,1.0,0.008113834800716034,2195,Greater Sydney,1.0,0.999999
2196,Greater Sydney,3047,3047,547460,1.0,0.005565703430387608,2196,Greater Sydney,1.0,0.999999
2197,Greater Sydney,837,837,547460,1.0,0.0015288788221970555,2197,Greater Sydney,1.0,0.999999
2198,Greater Sydney,428,428,547460,1.0,0.0007817922770613379,2198,Greater Sydney,1.0,0.999999
2199,Greater Sydney,1783,1783,547460,1.0,0.0032568589485989846,2199,Greater Sydney,1.0,0.999999
2200,Greater Sydney,5337,5337,547460,1.0,0.009748657436159719,2200,Greater Sydney,0.9944774,0.999999
2203,Greater Sydney,2403,2403,547460,1.0,0.004389361779856062,2203,Greater Sydney,1.0,0.999999
2204,Greater Sydney,4361,4361,547460,1.0,0.007965878785664706,2204,Greater Sydney,1.0,0.999999
2205,Greater Sydney,3197,3197,547460,1.0,0.00583969605085303,2205,Greater Sydney,0.9946045,0.999999
2206,Greater Sydney,1234,1234,547460,1.0,0.0022540459576955393,2206,Greater Sydney,1.0,0.999999
2207,Greater Sydney,2178,2178,547460,1.0,0.00397837284915793,2207,Greater Sydney,0.9945938,0.999999
2208,Greater Sydney,1003,1003,547460,1.0,0.0018320973221787893,2208,Greater Sydney,1.0,0.999999
2209,Greater Sydney,1665,1665,547460,1.0,0.0030413180871661856,2209,Greater Sydney,0.9918103,0.999999
2210,Greater Sydney,3291,3291,547460,1.0,0.006011398093011362,2210,Greater Sydney,0.9967395,0.999999
2211,Greater Sydney,1469,1469,547460,1.0,0.0026833010630913675,2211,Greater Sydney,1.0,0.999999
2212,Greater Sydney,1623,1623,547460,1.0,0.0029646001534358673,2212,Greater Sydney,1.0,0.999999
2213,Greater Sydney,1739,1739,547460,1.0,0.0031764877799291273,2213,Greater Sydney,1.0,0.999999
2214,Greater Sydney,117,117,547460,1.0,0.00021371424396302927,2214,Greater Sydney,1.0,0.999999
2216,Greater Sydney,4082,4082,547460,1.0,0.007456252511599021,2216,Greater Sydney,1.0,0.999999
2217,Greater Sydney,3681,3681,547460,1.0,0.006723778906221459,2217,Greater Sydney,0.9966257,0.999999
2218,Greater Sydney,2233,2233,547460,1.0,0.004078836809995251,2218,Greater Sydney,1.0,0.999999
