SA1_CODE21,LGA_NAME22
10201103318,Central Coast (NSW)
10201103319,Central Coast (NSW)
10201103320,Central Coast (NSW)
10201103401,Central Coast (NSW)
10201103402,Central Coast (NSW)
10201103403,Central Coast (NSW)
10201103404,Central Coast (NSW)
10201103405,Central Coast (NSW)
10201103406,Central Coast (NSW)
10201103408,Central Coast (NSW)
10201103409,Central Coast (NSW)
10201103410,Central Coast (NSW)
10201103411,Central Coast (NSW)
10201103412,Central Coast (NSW)
10201103413,Central Coast (NSW)
10201103414,Central Coast (NSW)
10201103415,Central Coast (NSW)
10201103416,Central Coast (NSW)
10201103417,Central Coast (NSW)
10201103418,Central Coast (NSW)
10201103419,Central Coast (NSW)
10201103420,Central Coast (NSW)
10201103501,Central Coast (NSW)
10201103502,Central Coast (NSW)
10201103503,Central Coast (NSW)
10201103504,Central Coast (NSW)
10201103505,Central Coast (NSW)
10201103506,Central Coast (NSW)
10201103507,Central Coast (NSW)
10201103508,Central Coast (NSW)
10201103509,Central Coast (NSW)
10201103510,Central Coast (NSW)
10201103511,Central Coast (NSW)
10201103512,Central Coast (NSW)
10201103513,Central Coast (NSW)
10201103514,Central Coast (NSW)
10201103515,Central Coast (NSW)
10201103516,Central Coast (NSW)
10201103517,Central Coast (NSW)
10201103601,Central Coast (NSW)
10201103602,Central Coast (NSW)
10201103603,Central Coast (NSW)
10201103604,Central Coast (NSW)
10201103605,Central Coast (NSW)
10201103606,Central Coast (NSW)
10201103607,Central Coast (NSW)
10201103608,Central Coast (NSW)
10201103609,Central Coast (NSW)
10201103610,Central Coast (NSW)
10201103611,Central Coast (NSW)
10201103612,Central Coast (NSW)
10201103613,Central Coast (NSW)
10201103614,Central Coast (NSW)
10201103615,Central Coast (NSW)
10201103616,Central Coast (NSW)
10201103617,Central Coast (NSW)
10201103618,Central Coast (NSW)
10201103619,Central Coast (NSW)
10201103620,Central Coast (NSW)
10201103621,Central Coast (NSW)
10201103622,Central Coast (NSW)
10201103701,Central Coast (NSW)
10201103702,Central Coast (NSW)
10201103703,Central Coast (NSW)
10201103704,Central Coast (NSW)
10201103705,Central Coast (NSW)
10201103706,Central Coast (NSW)
10201103707,Central Coast (NSW)
10201103708,Central Coast (NSW)
10201103709,Central Coast (NSW)
10201103710,Central Coast (NSW)
10201103711,Central Coast (NSW)
10201103712,Central Coast (NSW)
10201103713,Central Coast (NSW)
10201103714,Central Coast (NSW)
10201103801,Central Coast (NSW)
10201103802,Central Coast (NSW)
10201103803,Central Coast (NSW)
10201103804,Central Coast (NSW)
10201103805,Central Coast (NSW)
10201103806,Central Coast (NSW)
10201103807,Central Coast (NSW)
10201103808,Central Coast (NSW)
10201103809,Central Coast (NSW)
