SA4 Code 2021,SA4 Name,LGA Code 2021,LGA,State,Gcc Name21,LGA Area (sq km),SA4 Area (sq km),Row Number
120,Sydney - Inner West,11570,Canterbury-Bankstown,New South Wales,Greater Sydney,110.2374,64.5491,260
120,Sydney - Inner West,12380,Cumberland,New South Wales,Greater Sydney,72.7496,64.5491,261
120,Sydney - Inner West,14170,Inner West,New South Wales,Greater Sydney,35.2115,64.5491,262
120,Sydney - Inner West,16260,Parramatta,New South Wales,Greater Sydney,83.8303,64.5491,263
120,Sydney - Inner West,17100,Strathfield,New South Wales,Greater Sydney,14.0008,64.5491,264
120,Sydney - Inner West,17200,Sydney,New South Wales,Greater Sydney,26.6762,64.5491,265
121,Sydney - North Sydney and Hornsby,14000,Hornsby,New South Wales,Greater Sydney,455.0374,275.0994,266
121,Sydney - North Sydney and Hornsby,14500,Ku-ring-gai,New South Wales,Greater Sydney,85.4093,275.0994,267
121,Sydney - North Sydney and Hornsby,14700,Lane Cove,New South Wales,Greater Sydney,10.4789,275.0994,268
121,Sydney - North Sydney and Hornsby,15350,Mosman,New South Wales,Greater Sydney,8.6503,275.0994,269
121,Sydney - North Sydney and Hornsby,15950,North Sydney,New South Wales,Greater Sydney,10.491,275.0994,270
121,Sydney - North Sydney and Hornsby,15990,Northern Beaches,New South Wales,Greater Sydney,254.2072,275.0994,271
121,Sydney - North Sydney and Hornsby,16700,Ryde,New South Wales,Greater Sydney,40.4746,275.0994,272
121,Sydney - North Sydney and Hornsby,18250,Willoughby,New South Wales,Greater Sydney,22.4257,275.0994,273
122,Sydney - Northern Beaches,14500,Ku-ring-gai,New South Wales,Greater Sydney,85.4093,254.2072,274
122,Sydney - Northern Beaches,15990,Northern Beaches,New South Wales,Greater Sydney,254.2072,254.2072,275
123,Sydney - Outer South West,11450,Camden,New South Wales,Greater Sydney,201.5278,1277.2421,276
123,Sydney - Outer South West,11500,Campbelltown (NSW),New South Wales,Greater Sydney,311.4117,1277.2421,277
123,Sydney - Outer South West,14900,Liverpool,New South Wales,Greater Sydney,305.7401,1277.2421,278
123,Sydney - Outer South West,17150,Sutherland Shire,New South Wales,Greater Sydney,333.5806,1277.2421,279
123,Sydney - Outer South West,18350,Wingecarribee,New South Wales,Greater Sydney,2689.3415,1277.2421,280
